,etf_ticker,collected_at,symbol,name,weight,weight_pct,shares_owned,shares_owned_num,shares_value,shares_value_num
0,SCHD,2026-04-13 08:09:29.474348+00:00,CVX,Chevron Corp,4.48%,4.48,18.9M,18900000.0,$3.8B,3800000000.0
1,SCHD,2026-04-13 08:09:29.474348+00:00,UNH,UnitedHealth Group Inc,4.36%,4.36,12.1M,12100000.0,$3.7B,3700000000.0
2,SCHD,2026-04-13 08:09:29.474348+00:00,COP,ConocoPhillips,4.30%,4.3,27.7M,27700000.0,$3.7B,3700000000.0
3,SCHD,2026-04-13 08:09:29.474348+00:00,MRK,Merck & Co Inc,4.10%,4.1,29.3M,29300000.0,$3.5B,3500000000.0
4,SCHD,2026-04-13 08:09:29.474348+00:00,TXN,Texas Instruments Inc,4.08%,4.08,17.4M,17400000.0,$3.5B,3500000000.0
5,SCHD,2026-04-13 08:09:29.474348+00:00,KO,Coca-Cola Co,4.02%,4.02,45.1M,45100000.0,$3.4B,3400000000.0
6,SCHD,2026-04-13 08:09:29.474348+00:00,VZ,Verizon Communications Inc,3.93%,3.93,68.7M,68700000.0,$3.3B,3300000000.0
7,SCHD,2026-04-13 08:09:29.474348+00:00,PEP,PepsiCo Inc,3.87%,3.87,21.5M,21500000.0,$3.3B,3300000000.0
8,SCHD,2026-04-13 08:09:29.474348+00:00,ABT,Abbott Laboratories,3.72%,3.72,31.1M,31100000.0,$3.2B,3200000000.0
9,SCHD,2026-04-13 08:09:29.474348+00:00,AMGN,Amgen Inc,3.71%,3.71,9.3M,9300000.0,$3.2B,3200000000.0
10,SCHD,2026-04-13 08:09:29.474348+00:00,PG,Procter & Gamble Co,3.69%,3.69,22.2M,22200000.0,$3.1B,3100000000.0
11,SCHD,2026-04-13 08:09:29.474348+00:00,HD,The Home Depot Inc,3.57%,3.57,9.5M,9500000.0,$3.0B,3000000000.0
12,SCHD,2026-04-13 08:09:29.474348+00:00,QCOM,Qualcomm Inc,3.52%,3.52,24.2M,24200000.0,$3.0B,3000000000.0
13,SCHD,2026-04-13 08:09:29.474348+00:00,LMT,Lockheed Martin Corp,3.38%,3.38,4.6M,4600000.0,$2.9B,2900000000.0
14,SCHD,2026-04-13 08:09:29.474348+00:00,ACN,Accenture PLC Class A,3.23%,3.23,13.9M,13900000.0,$2.7B,2700000000.0
15,SCHD,2026-04-13 08:09:29.474348+00:00,BMY,Bristol-Myers Squibb Co,3.13%,3.13,46.1M,46100000.0,$2.7B,2700000000.0
16,SCHD,2026-04-13 08:09:29.474348+00:00,MO,Altria Group Inc,2.96%,2.96,38.0M,38000000.0,$2.5B,2500000000.0
17,SCHD,2026-04-13 08:09:29.474348+00:00,CMCSA,Comcast Corp Class A,2.65%,2.65,81.2M,81200000.0,$2.3B,2300000000.0
