,etf_ticker,collected_at,symbol,name,weight,weight_pct,shares_owned,shares_owned_num,shares_value,shares_value_num
0,VTI,2026-04-13 00:45:30.514857,NVDA,NVIDIA Corp,6.17%,6.17,730.2M,730200000.0,$129.4B,129400000000.0
1,VTI,2026-04-13 00:45:30.514857,AAPL,Apple Inc,5.89%,5.89,467.4M,467400000.0,$123.5B,123500000000.0
2,VTI,2026-04-13 00:45:30.514857,MSFT,Microsoft Corp,4.40%,4.4,235.1M,235100000.0,$92.3B,92300000000.0
3,VTI,2026-04-13 00:45:30.514857,AMZN,Amazon.com Inc,3.05%,3.05,304.3M,304300000.0,$63.9B,63900000000.0
4,VTI,2026-04-13 00:45:30.514857,GOOGL,Alphabet Inc Class A,2.74%,2.74,184.0M,184000000.0,$57.3B,57300000000.0
5,VTI,2026-04-13 00:45:30.514857,AVGO,Broadcom Inc,2.28%,2.28,149.4M,149400000.0,$47.7B,47700000000.0
6,VTI,2026-04-13 00:45:30.514857,GOOG,Alphabet Inc Class C,2.16%,2.16,145.4M,145400000.0,$45.3B,45300000000.0
7,VTI,2026-04-13 00:45:30.514857,META,Meta Platforms Inc Class A,2.13%,2.13,68.9M,68900000.0,$44.7B,44700000000.0
8,VTI,2026-04-13 00:45:30.514857,TSLA,Tesla Inc,1.72%,1.72,89.4M,89400000.0,$36.0B,36000000000.0
9,VTI,2026-04-13 00:45:30.514857,BRK/B,Berkshire Hathaway Inc Class B,1.37%,1.37,56.8M,56800000.0,$28.7B,28700000000.0
10,VTI,2026-04-13 00:45:30.514857,LLY,Eli Lilly and Co,1.35%,1.35,26.9M,26900000.0,$28.3B,28300000000.0
11,VTI,2026-04-13 00:45:30.514857,JPM,JPMorgan Chase & Co,1.15%,1.15,80.6M,80600000.0,$24.2B,24200000000.0
12,VTI,2026-04-13 00:45:30.514857,XOM,Exxon Mobil Corp,0.97%,0.97,133.4M,133400000.0,$20.3B,20300000000.0
13,VTI,2026-04-13 00:45:30.514857,JNJ,Johnson & Johnson,0.90%,0.9,76.2M,76200000.0,$18.9B,18900000000.0
14,VTI,2026-04-13 00:45:30.514857,WMT,Walmart Inc,0.85%,0.85,138.7M,138700000.0,$17.7B,17700000000.0
15,VTI,2026-04-13 00:45:30.514857,V,Visa Inc Class A,0.80%,0.8,52.4M,52400000.0,$16.8B,16800000000.0
16,VTI,2026-04-13 00:45:30.514857,MU,Micron Technology Inc,0.70%,0.7,35.6M,35600000.0,$14.7B,14700000000.0
17,VTI,2026-04-13 00:45:30.514857,COST,Costco Wholesale Corp,0.68%,0.68,14.0M,14000000.0,$14.2B,14200000000.0
18,VTI,2026-04-13 00:45:30.514857,MA,Mastercard Inc Class A,0.63%,0.63,25.4M,25400000.0,$13.1B,13100000000.0
19,VTI,2026-04-13 00:45:30.514857,ABBV,AbbVie Inc,0.62%,0.62,55.9M,55900000.0,$13.0B,13000000000.0
20,VTI,2026-04-13 00:45:30.514857,NFLX,Netflix Inc,0.62%,0.62,134.0M,134000000.0,$12.9B,12900000000.0
21,VTI,2026-04-13 00:45:30.514857,PG,Procter & Gamble Co,0.59%,0.59,73.9M,73900000.0,$12.4B,12400000000.0
22,VTI,2026-04-13 00:45:30.514857,HD,The Home Depot Inc,0.57%,0.57,31.5M,31500000.0,$12.0B,12000000000.0
23,VTI,2026-04-13 00:45:30.514857,CVX,Chevron Corp,0.54%,0.54,60.5M,60500000.0,$11.3B,11300000000.0
24,VTI,2026-04-13 00:45:30.514857,CAT,Caterpillar Inc,0.52%,0.52,14.8M,14800000.0,$11.0B,11000000000.0
25,VTI,2026-04-13 00:45:30.514857,GE,GE Aerospace,0.52%,0.52,31.7M,31700000.0,$10.8B,10800000000.0
26,VTI,2026-04-13 00:45:30.514857,AMD,Advanced Micro Devices Inc,0.49%,0.49,51.5M,51500000.0,$10.3B,10300000000.0
27,VTI,2026-04-13 00:45:30.514857,BAC,Bank of America Corp,0.47%,0.47,197.6M,197600000.0,$9.8B,9800000000.0
28,VTI,2026-04-13 00:45:30.514857,MRK,Merck & Co Inc,0.46%,0.46,78.5M,78500000.0,$9.7B,9700000000.0
29,VTI,2026-04-13 00:45:30.514857,AMAT,Applied Materials Inc,0.45%,0.45,25.2M,25200000.0,$9.4B,9400000000.0
30,VTI,2026-04-13 00:45:30.514857,PLTR,Palantir Technologies Inc Ordinary Share...,0.45%,0.45,68.6M,68600000.0,$9.4B,9400000000.0
31,VTI,2026-04-13 00:45:30.514857,LRCX,Lam Research Corp,0.44%,0.44,39.7M,39700000.0,$9.3B,9300000000.0
32,VTI,2026-04-13 00:45:30.514857,PM,Philip Morris International Inc,0.44%,0.44,49.2M,49200000.0,$9.2B,9200000000.0
33,VTI,2026-04-13 00:45:30.514857,CSCO,Cisco Systems Inc,0.43%,0.43,112.5M,112500000.0,$8.9B,8900000000.0
34,VTI,2026-04-13 00:45:30.514857,KO,Coca-Cola Co,0.42%,0.42,108.8M,108800000.0,$8.9B,8900000000.0
35,VTI,2026-04-13 00:45:30.514857,RTX,RTX Corp,0.41%,0.41,42.4M,42400000.0,$8.6B,8600000000.0
36,VTI,2026-04-13 00:45:30.514857,UNH,UnitedHealth Group Inc,0.40%,0.4,28.7M,28700000.0,$8.4B,8400000000.0
37,VTI,2026-04-13 00:45:30.514857,WFC,Wells Fargo & Co,0.39%,0.39,99.3M,99300000.0,$8.1B,8100000000.0
38,VTI,2026-04-13 00:45:30.514857,ORCL,Oracle Corp,0.38%,0.38,54.1M,54100000.0,$7.9B,7900000000.0
